,rank,name,league,total_goals_(2016-2023),spi
589,590,Golden Arrows,South African ABSA Premier League,248,13.15
590,591,Newport County,English League Two,535,13.05
591,592,Hatayspor,Turkish Turkcell Super Lig,333,13.01
592,593,Royal AM,South African ABSA Premier League,76,12.93
593,594,Perth Glory,Australian A-League,400,12.88
594,595,Sekhukhune United,South African ABSA Premier League,94,12.53
595,596,Cambridge United,English League One,555,12.42
596,597,Stevenage,English League Two,483,12.35
597,598,Northampton Town,English League Two,544,12.2
598,599,Hartford Athletic,United Soccer League,430,12.06
599,600,Monterey Bay,United Soccer League,144,11.99
600,601,Indy Eleven,United Soccer League,419,11.9
601,602,Tianjin Teda,Chinese Super League,145,11.8
602,603,Macarthur FC,Australian A-League,237,11.67
603,604,Varbergs BoIS FC,Swedish Allsvenskan,282,11.51
604,605,Charleston Battery,United Soccer League,486,11.22
605,606,Shanghai Greenland,Chinese Super League,152,11.13
606,607,Harrogate Town,English League Two,379,11.07
607,608,Moroka Swallows,South African ABSA Premier League,115,10.98
608,609,Tulsa Roughnecks,United Soccer League,515,10.76
609,610,Rio Grande Valley FC Toros,United Soccer League,460,10.72
610,611,Hebei China Fortune FC,Chinese Super League,152,10.52
611,612,Colchester United,English League Two,520,10.4
612,613,Henan Jianye,Chinese Super League,129,10.34
613,614,Las Vegas Lights FC,United Soccer League,524,10.19
614,615,Gillingham,English League Two,521,10.15
615,616,Dalian Aerbin,Chinese Super League,149,9.96
616,617,Tshakhuma Tsha Madzivhandila,South African ABSA Premier League,105,9.88
617,618,Guangzhou RF,Chinese Super League,182,9.74
618,619,Maritzburg Utd,South African ABSA Premier League,209,9.65
619,620,Accrington Stanley,English League One,607,9.56
620,621,Wuhan Zall,Chinese Super League,82,9.4
621,622,Crewe Alexandra,English League Two,574,9.33
622,623,Detroit City FC,United Soccer League,98,8.98
623,624,Richards Bay,South African ABSA Premier League,50,8.59
624,625,Rochdale,English League Two,602,8.31
625,626,Grimsby Town,English League Two,408,8.24
626,627,Chippa United,South African ABSA Premier League,224,8.13
627,628,Tranmere Rovers,English League Two,509,8.08
628,629,Loudoun United FC,United Soccer League,420,7.86
629,630,Tianjin Quanujian,Chinese Super League,145,7.83
630,631,Barrow,English League Two,313,7.76
631,632,Shenzhen FC,Chinese Super League,88,7.73
632,633,Chongqing Lifan,Chinese Super League,127,7.66
633,634,Hartlepool,English League Two,238,7.61
634,635,Walsall,English League Two,509,7.49
635,636,Sutton United,English League Two,226,7.02
636,637,AFC Wimbledon,English League Two,552,6.96
637,638,Doncaster Rovers,English League Two,586,6.06
638,639,Forest Green Rovers,English League One,559,5.91
639,640,Crawley Town,English League Two,576,5.75
640,641,Guizhou Renhe,Chinese Super League,141,4.86
